Statement,,,,Result
Say that according to the Los Angeles Times^ “95% of warrants for murder in Los Angeles are for illegal aliens^” more than two-thirds of all births in Los Angeles County “are to illegal alien Mexicans” on Medicaid^ “nearly 60% of all occupants of HUD properties are illegal^” and Nancy Pelosi “wants to put a windfall tax” on retirement fund profits.,,,,pants-fire
Says the NIH “15 years ago published a study on chloroquine. It is effective against COVID-(1).”,,,,FALSE
“@Mark Warner and his party bosses are calling to defund the police...”,,,,FALSE
Photo shows “huge charter busses” Black Lives Matter bought “to transport members to riots.”,,,,pants-fire
“Walmart has just pledged $100 million to Black Lives Matter.”,,,,FALSE
Social media posts claim the U.S. Postal Service “says you should give mail in ballots at least 14 days roundtrip. So^ if you plan to vote by mail^ election day isn’t November 3. It’s October 20th.”,,,,half-true
Says Joe Biden is formally listed as criminal suspect in Ukraine case involving his son.,,,,FALSE
“This virus has a cure. It is called hydroxychloroquine^ zinc^ and Zithromax. I know you people want to talk about a mask. Hello? You don’t need (a) mask. There is a cure.”,,,,FALSE
“McDonald’s (makes) you all sign noncompete contracts that you cannot go across town to try to get a job at Burger King.”,,,,FALSE
Says Mark Zuckerberg's real name is Jacob Greenberg and he’s the grandson of billionaire David Rockefeller.,,,,pants-fire
On home health workers’ low pay and limited benefits^ “40% are still on SNAP or Medicaid.”,,,,TRUE
No U.S. presidents elected before Donald Trump were racist.,,,,FALSE
The CDC said it “made a mistake” and reduced its count of Florida COVID-19 cases from 90^000 to 11^000.,,,,FALSE
“Under the leadership of @WVGovernor Justice^ West Virginia now has the highest rate of COVID-19 spread from person to person than any other state.”,,,,half-true
The Trump administration has had “zero unfulfilled equipment and supply requests from state governors.”,,,,FALSE
Quotes Tom Brady as saying^ “If anyone on my team kneels^ I quit.”,,,,pants-fire
Michigan House “passes bill to ‘voluntarily’ begin placing human implantable microchips into the bodies of all state government employees”,,,,barely-true
Says Sen. Thom Tillis “doesn’t think restaurant workers should have to wash their hands.”,,,,FALSE
Says Gov. Gretchen Whitmer “defunded the Michigan State Police and the prisons.”,,,,FALSE
There’s already 10^000 businesses that are not likely to open again^ and a significant number of small businesses and minority businesses.”,,,,mostly-true
“We're setting record job numbers.”,,,,barely-true
"“PPP on average probably provided a grant of around $11^000 per employee.""",,,,mostly-true
Kroger stores are charging a “BLM charge.”,,,,pants-fire
Quotes Anthony Fauci as writing^ “I reject the notion that it’s ‘just a virus’ and we’ll all get it eventually. What a careless^ lazy^ heartless stance.”,,,,FALSE
The United Nations’ “new world order” agenda will create one world government with one world military and the end of national sovereignty.,,,,FALSE
“Murders this year have spiked 27% in Philadelphia.”,,,,TRUE
"The estate tax ""would punish family farms and small businesses^ forcing them to be sold off instead of passed on to the next generation.”",,,,barely-true
Quotes Joe Biden as saying “We need to teach our children the ISLAMIC FAITH in our schools!”,,,,FALSE
Says President Donald Trump “is still yet to say anything as the president of the United States about bounties on American troops.”,,,,barely-true
“TEA is allowing online learning with attendance stipulations but will not fund school districts if they do not open their schools...If schools do not open and are not funded there will be no more teachers or school at all.”,,,,half-true
Says Tom Hanks was “arrested in Australia for pedophilia.”,,,,pants-fire
“Two stamps needed for mail-in ballots.”,,,,half-true
Bank of America just pledged $1 billion dollars to Black Lives Matter.,,,,FALSE
“Teachers are the number one occupation of the antifa terrorist organization according to the FBI.”,,,,pants-fire
"“Taxpayers spent $70^000^000 to develop this drug ( remdesivir).""",,,,TRUE
“I^ all the way back in January^ warned (President Trump that) this pandemic was coming. I talked about what we needed to do.”,,,,mostly-true
Quotes President Donald Trump as saying^ “Everybody says I’ve done a tremendous job with COVID… I think a little gratitude would be nice. Maybe a big ‘Thank you Mr. President’ is called for.”,,,,FALSE
Businesses that refuse any legal tender can be fined and sued.,,,,half-true
The New York Times “published Tucker Carlson’s home address and location.”,,,,FALSE
Says Joe Biden said^ “We don’t need any more N***** bigshots.”,,,,FALSE
"Says Barack Obama ""signed the law authorizing federal agents to snatch protesters off the streets” in Portland^ Ore.",,,,FALSE
"Says John James ""wants to allow insurance companies to discriminate against people with preexisting conditions.”",,,,barely-true
Photo shows “Lynn Rothschild and her eating babies decor.”,,,,pants-fire
“We have one of the lowest mortality rates in the world” from COVID-19.,,,,FALSE
Says President Donald Trump tweeted that South Dakota needs to keep its border with California closed.,,,,pants-fire
Says Joe Biden has said 150 million Americans died from guns and another 120 million from COVID-19,,,,mostly-true
Says Donald Trump tweeted that the Confederate flag is “a symbol of LOVE!! Plantations kept black people employed and gave them free food and housing!!! Black unemployment was VERY low back then like now with ME as your President!!”,,,,pants-fire
“Old C-SPAN footage of Joe Biden introducing man in blackface.”,,,,FALSE
“Wayfair CEO steps down.”,,,,FALSE
If you maintain social distancing indoors “there's no reason to have an additional mask on top of that.”,,,,FALSE
Opening the schools “is a local determination^ but it’s not a state determination.”,,,,FALSE
Photo shows “Chuck Schumer kissing this child on Epstein island!”,,,,FALSE
“Cal Cunningham criticized (the Paycheck Protection Program) while his company benefitted.”,,,,half-true
“Joe Biden wants to end school choice.”,,,,barely-true
Says Joe Biden plans to “mandate net-zero carbon emissions for homes^ offices and all new buildings by 2030. That basically means no windows^ no nothing.”,,,,FALSE
“Homicides are intraracial. When you look at white-on-white crime^ it's 84%. Right? Homicides. White people kill white people.”,,,,TRUE
Our country and Constitution was built on a foundational separation of church and state.,,,,mostly-true
Says research shows that children feel pressure “to become sexually active because of comprehensive sex education.”,,,,FALSE
Says Wisconsin Republicans “pushed for long lines and polls open for one day only.”,,,,barely-true
Under Joe Biden’s policy^ immigrants in the country illegally “get welfare benefits. United States citizens don't get what they're looking to give illegal immigrants.”,,,,FALSE
A Joe Biden-Bernie Sanders “unity” policy document shows “they want to abolish our police departments. They want to abolish our prisons^ I guess.”,,,,pants-fire
“You must apply to get your second stimulus check! I’ve already filed for mine and will be receiving $2^000 a month for the rest of the year.”,,,,pants-fire
“All the books” have been removed from the classrooms of a Minnesota middle school because administrators “claim that the books cannot be cleaned.”,,,,FALSE
Photo shows “Dr. Fauci^ Melinda Gates and Barack Obama at the Wuhan Lab in 2015.”,,,,pants-fire
New study: The flu vaccine is 'significantly associated' with an increased risk of coronavirus,,,,FALSE
"Wrong COVID-19 case count by Orlando Health ""explains the 'outbreak' in Florida.""",,,,FALSE
Marquette University threatened to rescind student’s admission over pro-Trump TikTok video.,,,,barely-true
“Kids are less likely to get it (COVID-19). You know^ they’re less likely to spread. So I think there’s some pretty good data out there that will help alleviate some of the concerns.”,,,,mostly-true
"Says Betsy Devos said ""only"" 0.02% of kids are likely to die when they go back to school.",,,,pants-fire
"Says a leader of the Blackfeet Nation tribe designed the current Washington Redskins logo and once said it “made us all proud to have an Indian on a big-time team.""",,,,mostly-true
Says FEMA is giving essential workers $1^000.,,,,pants-fire
“The Supreme Court ruled today NO VOTING BY MAIL !!!”,,,,FALSE
Only 56 coronavirus deaths a day was enough to collapse the world economy^ even though thousands of people die daily from tuberculosis^ hepatitis B^ and other diseases.,,,,pants-fire
“No other country” is having a “second wave” of COVID-19 “because they are not trying to unseat a President in November.”,,,,FALSE
“First off^ it’s in statute already in HIPAA that preexisting conditions are covered.”,,,,barely-true
Photo shows “Wayfair president of operations Bill Hutcherson with Ghislaine Maxwell.”,,,,pants-fire
“Weis Food stores will no longer sell anything with the American flag and their employees can no longer wear anything with the flag.”,,,,FALSE
“Registered Republican not allowed to vote.”,,,,FALSE
Says “Democratic Mayors in some of Wisconsin's largest cities closed voting locations in April to cause chaos.”,,,,FALSE
Quotes Dr. Denis Mukwege as saying he resigned from the Congolese coronavirus response team because he was ordered to fabricate COVID-19 case and death numbers.,,,,FALSE
"Says Amber Alerts are issued for white kids ""but not Black kids in Milwaukee.""",,,,FALSE
"“To children and the vast majority of young and middle-aged adults and the vast majority of teachers^ (the coronavirus) poses virtually zero threat.""",,,,barely-true
“Hillary Clinton is on trial^ she (supposed) to have killed” a 10-year-old girl.,,,,pants-fire
Says COVID-19 testing could be done with mouth swabs^ so maybe deeper swabbing is “implanting something.”,,,,barely-true
Lists eight wealthy politicians and public figures who “got millions (or close to it) in PPP loans.”,,,,half-true
“The CDC may have to stop calling COVID-19 an ‘epidemic’ due to a remarkably low death rate.”,,,,FALSE
On COVID-19^ Donald Trump said that “maybe if you drank bleach you may be okay.”,,,,barely-true
“And I heard that just yesterday^ Joe Biden said that well-armed police in his words ‘become the enemy’ and he said that he would ‘absolutely cut funding for law enforcement.’”,,,,barely-true
Says “no one under the age of 20 has died of the coronavirus. We still don’t know whether children can get it and transmit it to others.”,,,,FALSE
“There is no science or data to suggest that kids are at risk from COVID.”,,,,FALSE
“New Zealand let health experts” rather than politicians make decisions about how to deal with COVID-19^ “and as of today they have zero COVID cases.”,,,,mostly-true
"Higher education is one of America's strongest export sectors. Over 1 million international students studied at American universities^ (in the) 2018-19 school year. They contributed over $40 billion to the economy.”,https://www.politifact.com/factchecks/2020/jul/10/chris-hayes/msnbcs-chris-hayes-right-economic-impact-internati/,July 10^ 2020,Chris Hayes,true
Says Texas Education Agency Commissioner Mike Morath is requiring teachers to return to classrooms while “he has closed his offices at TEA through January.”,https://www.politifact.com/factchecks/2020/jul/10/ken-zarifis/are-texas-education-officials-working-home-while-a/,July 10^ 2020,Ken Zarifis,false
Florida state Rep. Heather Fitzenhagen “turned her back on President Trump^ refusing to ban sanctuary cities.”,https://www.politifact.com/factchecks/2020/jul/10/florida-republican-senatorial-campaign-committee/ad-wrongly-says-florida-republican-refused-ban-san/,July 10^ 2020,Florida Republican Senatorial Campaign Committee,false
Three hundred sixty thousand Pennsylvanians fought on the side of the Union to defeat the flag^ that Confederate flag^ including more Black soldiers coming from Pennsylvania than any other state in the nation.""",,,,mostly-true
Says police unions have it “written into a contract that (officers) are not going to be accountable” for misconduct.,,,,barely-true
Multiple studies “all said for decades^ masks do not work with viruses.”,,,,FALSE
A patient discharge document proves that “The WHO and CDC do NOT recommend that healthy people wear masks.”,,,,barely-true
Quotes LeBron James as saying^ “I don’t want nothing to do with white people. I don’t believe they want anything to do with me. I don’t want no (white) friends. It’s me and my boys.”,,,,barely-true
U.S. Rep. Matt “Cartwright proposes to defund the Wilkes-Barre police.”,,,,FALSE
Federal officials confirmed that the CDC “sent states tainted lab test kits in early February that were themselves seeded with the virus.”,,,,FALSE
Says Democratic leaders aren’t wearing masks or social distancing in private,,,,pants-fire
“The spot where they are ‘getting a sample’ for the COVID-19 test is called your Blood-Brain Barrier.”,,,,pants-fire
Photo shows Raz Simone^ “the alleged leader of CHAZ crying after Seattle police arrested him.”,,,,barely-true
Former U.S. Vice President Richard Mentor Johnson was a slave owner married to one of his slaves and father of two children with her.,,,,TRUE
“Dr. Fauci: No reason to be wearing a mask.”,,,,barely-true
Says Kansas City Chiefs CEO Clark Hunt said^ “You will stand^ with your hand over your heart and with respect^ when our country’s national anthem is being played or you will no longer be a Kansas City Chief.”,,,,FALSE
A photo shows Donald Trump embracing Jeffrey Epstein in the back of a limousine.,,,,pants-fire
“For the first time^ the Honor Guard soldiers that march at the Tomb of the Unknown Soldier in Arlington Cemetery have been issued live ammunition.”,,,,FALSE
People carrying guns can’t wear face masks to protect against the coronavirus because it’s a “class 4 felony.”,,,,FALSE
"Says Gary Peters ""fought against funding for the VA^ veterans housing programs^ military pay raises^ and health care and research for veterans and their families. He also fought against funding for processing veterans’ disability claims.”",,,,FALSE
Says Anthony Fauci “is married to Ghislaine Maxwell’s sister.”,,,,pants-fire
Black Lives Matter demonstrators attack “elderly man wearing oxygen.”,,,,half-true
The President’s Daily Brief “is like a mini novel.”,,,,FALSE
New York state “hospitals reporting thousands of fungus lung infections due to wearing a mask!!”,,,,FALSE
“COVID19 PCR tests are scientifically meaningless.”,,,,pants-fire
Federal aid for state and local governments through a proposed coronavirus relief bill would amount to “half of what the Republicans put onto the national debt.”,,,,mostly-true
Says 99% of COVID-19 cases “are totally harmless.”,,,,FALSE
“Covid is never going away! This is the beach today in Raleigh^ North Carolina.”,,,,pants-fire
"“People are starting to enter ERs with fungal lung infections from wearing masks!!""",,,,FALSE
Says Melania Trump’s dress at Mount Rushmore speech was designed from “drawings of several young victims of sex trafficking.”,,,,FALSE
Says BBC prematurely reported “Ghislaine Maxwell moved to intensive care as coronavirus symptoms worsen.”,,,,pants-fire
A study “showed that over 1 million people in North Carolina have now been exposed to the virus.”,,,,FALSE
“The national coin shortage was done intentionally^ the Mint is no longer releasing coins into circulation aka this is the beginning of the end of paper money.”,,,,FALSE
"“The CDC tried to develop clear guidelines about what the stages of re-opening should look like — the administration delayed and scaled them back.""",,,,mostly-true
"Republicans didn't ""increase state funding for nursing homes in the last budget.""",,,,FALSE
The Tony Evers administration is wrong to blame old computer software being used to process unemployment claims; it “has nothing to do with” the backlog.,,,,half-true
Video of man using an air-quality monitor proves that people are “not getting enough oxygen” while wearing masks,,,,barely-true
“The (COVID-19) cases are going up^ but it's because the testing is going up.”,,,,FALSE
"Says Donald Trump used farmers’ struggles “to push through a multi-billion dollar bailout program that was nothing more than a handout for large agricultural companies.""",,,,barely-true
The United States has not completed a “top-to-bottom review of our criminal justice system at the national level since 1965.”,,,,TRUE
Says John Elway told NFL players “Kneel on my field and you’re fired on the spot.”,,,,pants-fire
Lawyer-couple who pointed guns at protesters are Black Lives Matter backers^ Democrats and represent a police brutality victim.,,,,half-true
COVID-19’s “contagion probability” between two people is 70% if the carrier is not masked^ 5% if the carrier is masked^ and 1.5% if both parties are.,,,,barely-true
Says “Joe Biden supported the Castro regime and meeting with Maduro.”,,,,barely-true
“Four kids who took the coronavirus vaccine died immediately.”,,,,FALSE
"NFL player “stood alone"" while his whole team stayed in the locker room during the national anthem^ “a real American patriot!”",,,,half-true
A Denver International Airport mural of people wearing masks was painted in 1994.,,,,FALSE
An image from the St. Louis protest is “what MSM (mainstream media) won’t show you. Peaceful demonstrator pointing weapon at homeowner.”,,,,FALSE
Advertisements for [Scott] Milne’s travel company allow Milne to illegally use corporate funds.,,,,FALSE
On conducting a national search for a new Richmond police chief.,,,,full-flip
“Trump lost a trade war that he started.”,,,,mostly-true
Old photo shows Georgia Gov. Brian Kemp and his mother wearing KKK garb.,,,,pants-fire
Says Nancy Pelosi “made millions in coronavirus insider trading.”,,,,FALSE
Say Kurt Russell and Goldie Hawn support Trump by wearing t-shirt,,,,pants-fire
Wisconsin was the last state to start paying COVID-related federal unemployment benefits.,,,,mostly-true
You weren't allowed to own a cannon during the Revolutionary War as an individual.,,,,FALSE
Says Gov. Tony Evers “removed the American flag from the Capitol building”,,,,pants-fire
Says Maine Gov. Janet Mills is “using taxpayer money to buy cars for those on welfare^ without a public hearing on the rules. If someone on welfare sells the car for cash without the state’s approval^ the rules don’t allow the state to prosecute them for car theft.”,,,,half-true
Says Kamala Harris said “once Trump’s gone” from the White House^ “we’ll be coming for you next. You will feel the vengeance of a nation.”,,,,pants-fire
“1977: Biden said integrating black students would turn schools into ‘a jungle… a racial jungle.’”,,,,half-true
"If you are licensed to carry a concealed weapon^ wearing a face covering for coronavirus ""removes your conceal carry ability.""",,,,FALSE
“Drunk” Nancy Pelosi “was removed from the House floor for cursing at Republicans.”,,,,pants-fire
Says Sarah Huckabee Sanders tweeted^ “It’s ‘odd’ that the ANTIFA insurgency happened just as COVID-19 loses steam It’s ‘odd’ that COVID-19 happened the moment impeachment failed. It’s ‘odd’ that impeachment happened the moment Russian hoax failed. The Russian hoax happened because Hillary lost? Notice the pattern?”,,,,FALSE
Says Gov. Evers “has refused to identify or discipline the staff member who secretly taped” a conversation with GOP leaders.,,,,half-true
In North Carolina^ “you can be charged with a class H felony for wearing a mask and concealed carrying.”,,,,FALSE
“Joe Biden’s great-grandfather Joseph J. Biden was a slave-owner and fought” for the Confederacy.,,,,FALSE
Says George Floyd has “hair in one shot but is bald in the shots of him laying on the ground.”,,,,pants-fire
Says as a state lawmaker a bill he sponsored would have made “it easier to get rid of bad cops”,,,,barely-true
Antifa “are killing our police. Looting our businesses. Assaulting the elderly and burning our churches.”,,,,FALSE
A “face mask exempt card” allows you to cite the ADA and not wear a mask.,,,,FALSE
Hays County in Central Texas has seen an “incredible 845% increase in (COVID-19) cases since June 7.”,,,,mostly-true
“80% of the American people support our Dreamers. Over 70% think they should have a path to citizenship^ and that's Democrats^ Republicans^ independents.”,,,,mostly-true
“Chick-fil-A now open Sunday (Blacks only).”,,,,pants-fire
“Kill a White on Sight” appears on Black Lives Matter/Antifa flyers.,,,,FALSE
“Of course I will always protect those with preexisting conditions. Always.”,,,,FALSE
Google and Apple “put a covid tracker on every phone.”,,,,half-true
“OSHA says masks don't work” to reduce COVID-19 transmission “and violate OSHA oxygen levels.”,,,,FALSE
A Craigslist ad was soliciting “anti-Trump” protesters in Phoenix.,,,,FALSE
Protest vandalism in Richmond “all started two weeks ago when Mayor Stoney’s police gassed - tear gassed - a peaceful crowd of protesters^ moms and children^ at 7:30 p.m. sharp.”,,,,FALSE
North Carolina is one of four states that hasn't opened gyms.,,,,TRUE
As of June 23^ the COVID-19 death rate is “way down.”,,,,mostly-true
COVID-19 cases are “up only because of our big number testing.”,,,,FALSE
"Says President Trump said coronavirus testing makes the U.S. look bad^ ""so I said to my people^ ‘Slow the testing down.’""",,,,TRUE
Police officer is “the occupation with the highest suicide rate of any profession.”,,,,FALSE
Photo shows Klansmen and a burning cross at “the Democratic National Convention of 1924.”,,,,FALSE
NASCAR eliminated the national anthem at races.,,,,FALSE
Tennis star Serena Williams wrote that she’s “sick of COVID-19. I’m sick of black vs. white. I’m sick of Democrats vs. Republicans. I’m sick of gay vs. straight. I’m sick of Christians vs atheists. I’m REALLY sick of the media.”,,,,FALSE
Says America’s most violent cities are that way because of their Democratic politics,,,,barely-true
Gov. Gavin Newsom “has no legal authority” to make wearing face coverings mandatory in California.,,,,FALSE
Says Alexandria Ocasio-Cortez tweeted^ “It’s vital that Governors maintain restrictions on businesses until after the November Elections because economic recovery will help Trump be re-elected. A few business closures or job losses is a small price to pay to be free from his presidency. #KeepUsClosed.”,,,,pants-fire
Aunt Jemima was photographed chained to a table.,,,,FALSE
“Joe Biden and the Democrats want to prosecute Americans for going to church^ but not for burning a church.”,,,,FALSE
"Images of crowds and crowded arenas were taken ""today in Tulsa Oklahoma""",,,,FALSE
“Obama’s daughters caught on camera burning US flag at DC protest.”,,,,pants-fire
Photo shows the BOK Center full with people during Donald Trump’s Tulsa rally.,,,,FALSE
“Here are pictures from Trump’s Tulsa rally!!!”,,,,FALSE
A bar graph compares homicides for various racial groups,,,,barely-true
Says NASCAR announced that driver Bubba Wallace mistook a serpentine automotive belt for a noose in his garage stall.,,,,pants-fire
Photos show the inside of the BOK Center during Donald Trump’s rally in Tulsa.,,,,FALSE
“Companies that use prison labor: Whole Foods^ McDonald’s^ Walmart^ Victoria’s Secret^ AT&T^ Bank of America^ Starbucks^ Wendy’s.”,,,,barely-true
“Six months before the COVID ‘plandemic^’ Bill Gates had negotiated a $100 billion contact tracing deal with (the) Democratic congressman sponsor of bill.”,,,,FALSE
Says Obama Foundation posted picture of George Floyd before he died.,,,,FALSE
Says a 1942 Milwaukee YMCA brochure shows children playing a violent^ racist carnival game,,,,TRUE
Former slave Nancy Green^ the first Aunt Jemima model^ died “as one of America’s first black millionaires.”,,,,FALSE
“As a lawyer working in Korea^ Nate McMurray helped send American jobs to Asia”,,,,FALSE
Says Osama bin Laden endorsed Joe Biden,,,,FALSE
CNN aired a video of a toddler running away from another toddler with the headlines “Terrified toddler runs from racist baby” and “Racist baby probably voted for Trump.”,,,,pants-fire
Says Tim Tebow “kneeled in protest of abortion during the National Anthem in 2012. He was praised by fans as being a ‘model American.’”,,,,FALSE
“Even so-called moderate Democrats like Joe Biden have endorsed a ban on fracking^ which would eliminate 516^000 Michigan jobs and reduce the state’s gross domestic product by $159 billion over five years.”,,,,barely-true
"Our health department^ our city and our county declared racism as a public health crisis last year.”,https://www.politifact.com/factchecks/2020/jun/18/jeanette-kowalik/milwaukee-was-among-first-declare-racism-public-he/,June 18^ 2020,Jeanette Kowalik,true
Says before he planned a rally on June 19 “nobody had ever heard of” Juneteenth.,https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/,June 18^ 2020,Donald Trump,pants-fire
California’s registered independent voters “will not be able to vote republican come 2020.”,https://www.politifact.com/factchecks/2020/jun/18/facebook-posts/facebook-post-falsely-claims-independents-californ/,June 18^ 2020,Facebook posts,false
“Antifa now banging on residents’ doors in Seattle^ demanding food & supplies. If they don’t get it^ the house gets vandalized.”,https://www.politifact.com/factchecks/2020/jun/18/facebook-posts/no-evidence-antifa-members-vandalizing-seattle-hom/,June 18^ 2020,Facebook posts,false
“President Obama and Vice President Biden never even tried to fix this (police reforms) during their eight-year period.”,https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trump-falsely-says-obama-administration-did/,June 18^ 2020,Donald Trump,false
Says these “elite” figures are on house arrest with ankle monitors “due to child trafficking crimes.”,https://www.politifact.com/factchecks/2020/jun/18/facebook-posts/bogus-conspiracy-about-obama-others-wearing-house-/,June 18^ 2020,Facebook posts,pants-fire
Says Nate McMurray said that “gun owners are part of the most insecure and dangerous club on earth^” that “the NRA are homegrown terrorists^” and that “abortion opponents are the American Taliban.”,https://www.politifact.com/factchecks/2020/jun/18/chris-jacobs/fact-checking-claims-chris-jacobs-nate-mcmurray-de/,June 18^ 2020,Chris Jacobs,mostly-true
Significantly more people died of Covid-19 in two months than died of overdoses all of last year or the year before.,https://www.politifact.com/factchecks/2020/jun/18/monica-wallace/do-two-months-coronavirus-deaths-exceed-number-dru/,June 18^ 2020,Monica Wallace,true
“163 paid protesters just filed a lawsuit against George Soros for not paying their bail.”,https://www.politifact.com/factchecks/2020/jun/18/blog-posting/hoax-websites-republish-made-article-about-protest/,June 18^ 2020,Bloggers,pants-fire
“Trump administration just FIRED 54 scientists & cut off 77 grants at Fauci's NIH for not disclosing their ties to Communist China!”,https://www.politifact.com/factchecks/2020/jun/18/facebook-posts/fact-checking-claim-about-trump-fired-scientists-a/,June 18^ 2020,Facebook posts,half-true
While in prison^ boxer Jack Johnson invented and patented the first wrench^ and white people insulted him by calling it a “monkey wrench.”,https://www.politifact.com/factchecks/2020/jun/18/snoop-dogg/no-white-people-didnt-dub-black-boxer-jack-johnson/,June 18^ 2020,Snoop Dogg,false
Nazi Germany’s Hermann Göring worked to defund and eliminate the police departments so that they would not interfere with his Brown Shirts.""",,,,FALSE
“Speaker Pelosi presents a special ‘service flag’ to Mr. Floyd’s family.”,,,,barely-true
Says NASCAR “bans the confederate flag but FORCES all their drivers to do Muslim prayer.”,,,,pants-fire
“If we stopped testing right now^ we'd have very few cases^ if any.”,,,,pants-fire
Says the state of Maryland issued these Independence Day 2020 safety guidelines.,,,,pants-fire
“The point of defunding the Police in Minneapolis is that Minnesota is where Obama settled 1 Million Islamics. They want Sharia Law.”,,,,FALSE
“According to its website Black Lives Matter^ Inc is NOT a charity. It is a full-fledged corporation that does NOT have any locations.”,,,,FALSE
A white armed-robbery suspect was sentenced to two years in jail while a black armed-robbery suspect was sentenced to 26 years in prison by the same Florida judge.,,,,mostly-true
"There are state workers who are ""idle"" at home during the coronavirus pandemic.",,,,half-true
“CNN lightened the photo of the man who drove into the protester last night in Seattle.”,,,,pants-fire
Says news stories referencing 322 and COVID-19 are proof cases are being “synchronized”,,,,pants-fire
In COVID-19 crisis^ “only 20% of African Americans had jobs where they could work from home.”,,,,TRUE
Says photo of beaten woman is Aracely Henriquez^ a pregnant woman who George Floyd assaulted during an armed robbery.,,,,FALSE
“The CDC just confirmed a 0.2% death-rate for COVID19.”,,,,barely-true
In a very real sense^ (Oklahoma has) flattened the curve. ... The number of cases in Oklahoma — it's declined precipitously.,,,,FALSE
“FREE HORSES!!!! 52 thoroughbred horses need homes. Will go to Sugarcreek this Sat. for slaughter. Gentleman died due to COVID-19 and his son wants nothing to do with them.”,,,,FALSE
“George Floyd’s ‘murder’ filmed before COVID-19.”,,,,pants-fire
Says Joe Biden called ANTIFA “courageous Americans.”,,,,FALSE
“Cops in Norway: require 3 years of training^ 4 people killed since 2002. Cops in Finland: require 2 years of training^ 7 people killed since 2000. Cops in Iceland: require 2 years of training^ 1 person killed since ever. Cops in the U.S.: require 21 weeks of training^ 8^000+ people killed since 2001.”,,,,half-true
